class,count
asbfly,105
ashdro1,109
ashpri1,96
ashwoo2,45
asikoe2,275
asiope1,5
aspfly1,26
aspswi1,26
barfly1,20
barswa,500
bcnher,500
bkcbul1,24
bkrfla1,29
bkskit1,268
bkwsti,500
bladro1,125
blaeag1,6
blakit1,231
blhori1,141
blnmon1,173
blrwar1,500
bncwoo3,7
brakit1,44
brasta1,13
brcful1,86
brfowl1,17
brnhao1,122
brnshr,150
brodro1,114
brwjac1,20
brwowl1,79
btbeat1,57
bwfshr1,31
categr,210
chbeat1,22
cohcuc1,76
comfla1,32
comgre,500
comior1,219
comkin1,500
commoo3,500
commyn,237
compea,70
comros,500
comsan,500
comtai1,302
copbar1,124
crbsun2,24
cregos1,40
crfbar1,13
crseag1,153
dafbab1,22
darter2,7
eaywag1,500
emedov2,53
eucdov,500
eurbla2,24
eurcoo,500
forwag1,44
gargan,163
gloibi,107
goflea1,46
graher1,500
grbeat1,67
grecou1,163
greegr,276
grefla1,58
grehor1,37
grejun2,51
grenig1,41
grewar3,500
grnsan,500
grnwar1,142
grtdro1,278
gryfra,56
grynig2,20
grywag,500
gybpri1,115
gyhcaf1,217
heswoo1,22
hoopoe,500
houcro1,139
houspa,500
inbrob1,59
indpit1,61
indrob1,44
indrol2,35
indtit1,12
ingori1,40
inpher1,13
insbab1,63
insowl1,36
integr,5
isbduc1,16
jerbus2,19
junbab2,79
junmyn1,15
junowl1,49
kenplo1,271
kerlau2,14
labcro1,235
laudov1,113
lblwar1,90
lesyel1,22
lewduc1,33
lirplo,500
litegr,405
litgre1,500
litspi1,123
litswi1,77
lobsun2,20
maghor2,30
malpar1,20
maltro1,17
malwoo1,10
marsan,92
mawthr1,46
moipig1,27
nilfly2,8
niwpig1,5
nutman,115
orihob2,41
oripip1,71
pabflo1,47
paisto1,7
piebus1,89
piekin1,137
placuc3,38
plaflo1,20
plapri1,155
plhpar1,28
pomgrp2,9
purher1,274
pursun3,56
pursun4,125
purswa3,39
putbab1,224
redspu1,16
rerswa1,198
revbul,101
rewbul,189
rewlap1,135
rocpig,201
rorpar,420
rossta2,60
rufbab3,17
ruftre2,127
rufwoo2,49
rutfly6,8
sbeowl1,25
scamin3,12
shikra1,96
smamin1,20
sohmyn1,42
spepic1,45
spodov,155
spoowl1,35
sqtbul1,24
stbkin1,122
sttwoo1,20
thbwar1,102
tibfly3,104
tilwar1,21
vefnut1,41
vehpar1,36
wbbfly1,7
wemhar1,273
whbbul2,52
whbsho3,22
whbtre1,21
whbwag1,34
whbwat1,167
whbwoo2,75
whcbar1,56
whiter2,226
whrmun,63
whtkin2,185
woosan,500
wynlau1,6
yebbab1,28
yebbul3,30
zitcis1,500
