class,TP,FP,Support,target,accuracy
bcnher,39,22,47,10,0.83
purher1,19,22,27,132,0.70
blrwar1,53,17,62,20,0.85
comros,57,16,59,43,0.97
comior1,23,16,25,38,0.92
lirplo,40,16,45,105,0.89
bkwsti,46,14,48,14,0.96
grtdro1,29,14,36,73,0.81
categr,22,13,34,33,0.65
eurcoo,43,12,50,57,0.86
houspa,27,11,33,82,0.82
grnsan,47,10,50,71,0.94
blnmon1,20,10,21,19,0.95
eaywag1,46,9,48,53,0.96
comgre,38,9,41,37,0.93
barswa,45,9,53,9,0.85
grywag,50,8,53,76,0.94
kenplo1,14,8,16,98,0.88
hoopoe,45,8,54,80,0.83
wemhar1,22,8,27,166,0.81
comtai1,23,8,30,45,0.77
litegr,26,8,36,106,0.72
tibfly3,8,7,11,161,0.73
plapri1,10,7,13,129,0.77
rocpig,17,7,19,142,0.89
rorpar,46,7,49,143,0.94
zitcis1,40,7,43,181,0.93
comsan,48,6,50,44,0.96
rerswa1,11,6,19,138,0.58
shikra1,9,6,10,151,0.90
rewbul,15,6,20,140,0.75
whtkin2,10,6,14,176,0.71
litspi1,5,6,9,108,0.56
asbfly,2,6,5,0,0.40
brodro1,1,6,13,28,0.08
whbwat1,13,6,16,171,0.81
copbar1,10,5,12,46,0.83
bkskit1,18,5,22,13,0.82
orihob2,4,5,5,121,0.80
eucdov,52,5,55,55,0.95
litgre1,42,5,55,107,0.76
gargan,8,5,16,59,0.50
gyhcaf1,13,4,17,78,0.76
lblwar1,6,4,7,102,0.86
gloibi,10,4,14,60,0.71
commyn,8,4,16,41,0.50
woosan,56,4,63,177,0.89
comkin1,52,4,58,39,0.90
graher1,43,4,59,62,0.73
piekin1,9,4,13,126,0.69
blakit1,19,3,21,17,0.90
lesyel1,2,3,3,103,0.67
commoo3,42,3,58,40,0.72
brwowl1,7,3,9,30,0.78
whrmun,7,3,10,175,0.70
bladro1,6,3,11,15,0.55
greegr,18,3,23,65,0.78
junbab2,10,3,12,95,0.83
grecou1,15,3,17,64,0.88
crseag1,8,3,13,50,0.62
goflea1,0,3,2,61,0.00
pursun4,13,3,16,134,0.81
